id,start_time,stop_time,cue_start_time,pole_in_time,pole_out_time,type,response,stim_present,is_good
94,918.369,,6.41514,3.91465,4.91481,lick right,correct,0,1
95,924.769,,7.17914,4.67865,5.67881,lick left,correct,0,1
96,931.169,,6.48797,3.98732,4.98748,lick right,correct,0,1
97,937.568,,7.3958,4.89532,5.89548,lick right,incorrect,0,1
98,943.969,,6.50781,4.00715,5.00731,lick right,correct,0,1
99,950.369,,6.68314,4.18248,5.18265,lick left,correct,0,1
100,956.768,,7.70347,5.20282,6.20298,lick left,correct,0,1
101,963.168,,6.38447,3.88382,4.88398,lick right,correct,0,1
102,969.568,,6.62531,4.12482,5.12498,lick right,incorrect,0,1
103,975.968,,7.62947,5.12881,6.12897,lick right,correct,0,1
104,982.369,,7.60314,5.10248,6.10264,lick left,correct,0,1
105,988.769,,7.27763,4.77698,5.77714,lick right,correct,0,1
106,995.169,,6.64231,4.14182,5.14198,lick right,incorrect,0,1
107,1001.57,,6.44097,3.94032,4.94048,lick right,correct,0,1
108,1007.97,,7.2773,4.77665,5.77681,lick left,correct,0,1
109,1014.37,,7.28914,4.78865,5.78881,lick right,correct,0,1
110,1020.77,,7.20631,4.70582,5.70598,lick right,correct,0,1
111,1027.17,,7.19947,4.69898,5.69914,lick left,correct,0,1
112,1033.57,,6.32314,3.82249,4.82265,lick right,correct,0,1
113,1039.97,,6.70114,4.20065,5.20081,lick right,correct,0,1
114,1046.37,,7.13431,4.63383,5.63398,lick right,correct,0,1
115,1052.77,,7.27397,4.77348,5.77364,lick left,incorrect,0,1
116,1059.17,,6.83347,4.33298,5.33315,lick left,correct,0,1
117,1065.57,,6.37664,3.87615,4.87631,lick right,correct,0,1
118,1071.97,,7.30313,4.80248,5.80264,lick left,correct,0,1
119,1078.37,,6.41698,3.91632,4.91648,lick left,correct,0,1
120,1084.77,,7.4308,4.93031,5.93048,lick right,correct,0,1
121,1091.17,,7.36247,4.86181,5.86198,lick right,correct,0,1
122,1097.57,,7.19297,4.69232,5.69248,lick right,incorrect,0,1
123,1103.97,,6.44447,3.94382,4.94398,lick left,correct,0,1
124,1110.37,,6.62247,4.12182,5.12198,lick left,incorrect,0,1
125,1116.77,,6.64581,4.14532,5.14548,lick right,correct,0,1
126,1123.17,,6.67497,4.17432,5.17448,lick left,correct,0,1
127,1129.57,,6.46097,3.96032,4.96048,lick left,correct,0,1
128,1135.97,,6.59864,4.09798,5.09815,lick left,incorrect,0,1
129,1142.37,,6.60664,4.10615,5.10631,lick right,correct,0,1
130,1148.77,,7.2078,4.70731,5.70748,lick left,correct,0,1
131,1155.17,,7.49197,4.99131,5.99148,lick right,correct,0,1
132,1161.57,,8.56297,4.77798,5.77814,lick left,early lick,0,1
133,1167.97,,7.57564,5.07498,6.07514,lick left,incorrect,0,1
134,1174.37,,6.6053,4.10465,5.10481,lick left,incorrect,0,1
135,1180.77,,6.60548,4.10498,5.10515,lick right,correct,0,1
136,1187.17,,7.24664,4.74615,5.74631,lick right,correct,0,1
137,1193.57,,7.2398,4.73931,5.73948,lick left,incorrect,0,1
138,1199.97,,6.65281,4.15215,5.15231,lick left,correct,0,1
