unit_id,spike_time,quality
1,933.873288,Poor
1,948.2774710000008,Poor
1,950.5357110000007,Poor
1,963.8427369999994,Poor
1,970.1696180000004,Poor
1,970.3827380000004,Poor
1,981.1382930000003,Poor
1,998.4349809999999,Poor
1,1001.8557769999996,Poor
1,1007.1972369999995,Poor
1,1007.5521569999995,Poor
1,1008.2231169999995,Poor
1,1015.226128,Poor
1,1018.6167669999993,Poor
1,1019.1921269999993,Poor
1,1019.8214069999993,Poor
1,1020.8079269999994,Poor
1,1020.9495269999993,Poor
1,1024.1829269999994,Poor
1,1024.3382469999995,Poor
1,1026.9299379999995,Poor
1,1028.0509779999995,Poor
1,1030.2083379999997,Poor
1,1030.5045379999997,Poor
1,1039.287091,Poor
1,1040.493411,Poor
1,1044.7219299999997,Poor
1,1050.6465869999995,Poor
1,1052.1171469999997,Poor
1,1055.5252269999996,Poor
1,1058.5977610000002,Poor
1,1058.645561,Poor
1,1060.035961,Poor
1,1060.117921,Poor
1,1061.8348010000002,Poor
1,1063.4142630000001,Poor
1,1065.2545430000002,Poor
1,1069.3364309999995,Poor
1,1070.9941109999995,Poor
1,1074.5048709999994,Poor
1,1074.7372709999995,Poor
1,1074.8200709999994,Poor
1,1078.8312000000003,Poor
1,1078.9709200000002,Poor
1,1079.7629600000002,Poor
1,1086.0654379999996,Poor
1,1087.6119579999995,Poor
1,1089.7035540000002,Poor
1,1090.0467540000002,Poor
1,1091.1513940000002,Poor
1,1092.2857540000002,Poor
1,1092.8204340000002,Poor
1,1094.394954,Poor
1,1094.910994,Poor
1,1095.2850539999997,Poor
1,1095.396014,Poor
1,1096.5906539999999,Poor
1,1096.8606139999997,Poor
1,1096.9020939999998,Poor
1,1097.0972539999998,Poor
1,1097.5926539999998,Poor
1,1097.6708939999999,Poor
1,1102.9711550000002,Poor
1,1104.857715,Poor
1,1105.1430350000003,Poor
1,1107.7467379999996,Poor
1,1109.9373779999996,Poor
1,1110.7912579999997,Poor
1,1118.6964169999992,Poor
1,1119.0359769999993,Poor
1,1120.9673569999998,Poor
1,1121.9214769999996,Poor
1,1122.4704769999996,Poor
1,1123.4714369999997,Poor
1,1123.8800369999997,Poor
1,1124.1477969999996,Poor
1,1124.9233569999997,Poor
1,1125.0126369999998,Poor
1,1125.3041569999998,Poor
1,1125.5543569999998,Poor
1,1125.7867969999998,Poor
1,1126.0659569999998,Poor
1,1128.7689970000001,Poor
1,1129.3829570000003,Poor
1,1130.6295570000002,Poor
1,1131.9833970000002,Poor
1,1134.609197,Poor
1,1147.1666699999996,Poor
1,1148.2476299999996,Poor
1,1149.1750299999997,Poor
1,1150.4954299999995,Poor
1,1150.7217499999995,Poor
1,1151.8413499999995,Poor
1,1152.5431549999996,Poor
